Date,3month,bond,ftse100,ftse250,nikkei,russell,sp400,sp500
1987-09-11,0.005467,0.00271,0.003551,0.001041,0.001332,0.009292,0.009111,0.015293
1987-09-12,0.005467,0.000118,0.001561,0.001425,0.001688,-0.000235,0.00033,0.001149
1987-09-13,0.005467,0.000147,0.001563,0.001426,0.001685,-0.000176,0.00033,0.001117
1987-09-14,0.005467,0.000117,0.001556,0.001421,0.001683,-0.000235,0.00033,0.001147
1987-09-15,0.005458,-0.003113,-0.003213,0.000856,0.000275,-0.007217,-0.00682,-0.016528
1987-09-16,0.005458,-0.001002,0.006756,0.004324,0.000274,-0.001655,-0.003101,-0.009064
1987-09-17,0.005492,-0.000442,0.010834,0.008905,-0.004503,-0.000592,-0.003,0.000222
1987-09-18,0.005525,0.001269,0.010328,0.009089,-0.000421,-0.000415,-0.002452,-0.000222
1987-09-19,0.005558,0.00053,0.000932,0.000264,0.000907,-0.002667,-0.002346,-0.004573
1987-09-20,0.005583,0.00053,0.000927,0.000264,0.000906,-0.002674,-0.002351,-0.004594
1987-09-21,0.005617,0.00053,0.00093,0.000264,0.000905,-0.002681,-0.002357,-0.004616
1987-09-22,0.005608,-0.000883,0.0006,-0.002902,-0.001861,0.000956,0.005175,0.028853
1987-09-23,0.005592,0.001237,0.006934,0.006579,0.001585,0.006505,0.009625,0.00529
1987-09-24,0.005558,0.000676,-0.016579,-0.008701,0.001583,0.000415,0.001663,-0.004577
1987-09-25,0.005633,-0.004614,0.012622,0.009908,0.006049,0.000771,0.001328,0.001376
1987-09-26,0.00565,0.000207,0.003628,0.002805,0.009849,0.001303,0.001326,0.003155
1987-09-27,0.005658,0.000207,0.003615,0.002793,0.009753,0.00136,0.001435,0.003176
1987-09-28,0.005675,0.000207,0.003602,0.002789,0.009659,0.001299,0.001323,0.003135
1987-09-29,0.005767,-0.002921,8.4e-05,0.003816,0.00622,-0.002714,0.00011,-0.004672
1987-09-30,0.005692,-0.003462,-0.000971,0.00325,0.000495,0.010351,0.004402,0.000435
1987-10-01,0.005717,-0.000653,0.003297,0.010939,-0.011116,0.003454,0.008657,0.01709
1987-10-02,0.005742,-0.002228,0.003539,0.006107,0.00547,0.003967,0.007713,0.002261
1987-10-03,0.00575,0.001042,0.000504,7.4e-05,0.002009,0.000872,0.000431,0.0
1987-10-04,0.005758,0.001071,0.000503,7.8e-05,0.002005,0.000929,0.000539,3e-05
1987-10-05,0.005767,0.00104,0.000503,7.4e-05,0.002001,0.00087,0.000431,0.0
