index_name,start_date,end_date,period_length,change_percent
3month,1981-09-01,1981-10-01,month,1.4175
3month,1981-10-01,1981-11-01,month,1.2775
3month,1981-11-01,1981-12-01,month,1.1117
3month,1981-12-01,1982-01-01,month,0.9008
3month,1982-01-01,1982-02-01,month,0.9683
3month,1982-02-01,1982-03-01,month,1.2308
3month,1982-03-01,1982-04-01,month,1.0675
3month,1982-04-01,1982-05-01,month,1.1558
3month,1982-05-01,1982-06-01,month,1.1042
3month,1982-06-01,1982-07-01,month,1.0458
3month,1982-07-01,1982-08-01,month,1.0950
3month,1982-08-01,1982-09-01,month,0.8333
3month,1982-09-01,1982-10-01,month,0.7275
3month,1982-10-01,1982-11-01,month,0.6333
3month,1982-11-01,1982-12-01,month,0.6717
3month,1982-12-01,1983-01-01,month,0.7125
3month,1983-01-01,1983-02-01,month,0.6825
3month,1983-02-01,1983-03-01,month,0.7042
3month,1983-03-01,1983-04-01,month,0.6883
3month,1983-04-01,1983-05-01,month,0.7467
3month,1983-05-01,1983-06-01,month,0.6958
3month,1983-06-01,1983-07-01,month,0.7433
3month,1983-07-01,1983-08-01,month,0.7542
3month,1983-08-01,1983-09-01,month,0.8025
3month,1983-09-01,1983-10-01,month,0.7983
3month,1983-10-01,1983-11-01,month,0.7558
3month,1983-11-01,1983-12-01,month,0.7333
3month,1983-12-01,1984-01-01,month,0.7725
3month,1984-01-01,1984-02-01,month,0.7783
3month,1984-02-01,1984-03-01,month,0.7708
3month,1984-03-01,1984-04-01,month,0.7950
3month,1984-04-01,1984-05-01,month,0.8383
3month,1984-05-01,1984-06-01,month,0.8400
3month,1984-06-01,1984-07-01,month,0.8483
3month,1984-07-01,1984-08-01,month,0.8483
3month,1984-08-01,1984-09-01,month,0.9050
3month,1984-09-01,1984-10-01,month,0.9233
3month,1984-10-01,1984-11-01,month,0.8875
3month,1984-11-01,1984-12-01,month,0.7800
3month,1984-12-01,1985-01-01,month,0.7275
3month,1985-01-01,1985-02-01,month,0.6758
3month,1985-02-01,1985-03-01,month,0.7058
3month,1985-03-01,1985-04-01,month,0.7483
3month,1985-04-01,1985-05-01,month,0.7033
3month,1985-05-01,1985-06-01,month,0.6675
3month,1985-06-01,1985-07-01,month,0.6108
3month,1985-07-01,1985-08-01,month,0.5908
3month,1985-08-01,1985-09-01,month,0.6267
3month,1985-09-01,1985-10-01,month,0.6142
