Date,NIKKEI225
1949-05-16,176.21
1949-05-17,174.8
1949-05-18,172.53
1949-05-19,171.34
1949-05-20,169.2
1949-05-21,170.08333333333331
1949-05-22,170.96666666666667
1949-05-23,171.85
1949-05-24,172.75
1949-05-25,171.53
1949-05-26,170.43
1949-05-27,172.76
1949-05-28,173.91
1949-05-29,175.06
1949-05-30,176.21
1949-05-31,176.52
1949-06-01,175.97
1949-06-02,174.76
1949-06-03,175.48
1949-06-04,175.29333333333332
1949-06-05,175.10666666666665
1949-06-06,174.92
1949-06-07,173.83
1949-06-08,171.53
1949-06-09,170.15
1949-06-10,167.98
1949-06-11,167.07666666666665
1949-06-12,166.17333333333335
1949-06-13,165.27
1949-06-14,158.98
1949-06-15,153.81
1949-06-16,157.8
1949-06-17,160.13
1949-06-18,158.57
1949-06-19,157.01
1949-06-20,155.45
1949-06-21,152.99
1949-06-22,155.01
1949-06-23,155.76
1949-06-24,154.04
1949-06-25,152.88666666666666
1949-06-26,151.73333333333335
1949-06-27,150.58
1949-06-28,147.13
1949-06-29,146.14
1949-06-30,146.92
1949-07-01,147.37
1949-07-02,147.96
1949-07-03,148.54999999999998
1949-07-04,149.14
1949-07-05,146.52
1949-07-06,144.18
1949-07-07,143.66
1949-07-08,142.16
1949-07-09,140.05333333333334
1949-07-10,137.94666666666666
1949-07-11,135.84
1949-07-12,134.8
1949-07-13,140.02
1949-07-14,141.28
1949-07-15,142.29
1949-07-16,143.93666666666667
1949-07-17,145.58333333333331
1949-07-18,147.23
1949-07-19,148.55
1949-07-20,147.09
1949-07-21,145.97
1949-07-22,145.67
1949-07-23,145.40666666666667
1949-07-24,145.14333333333332
1949-07-25,144.88
1949-07-26,144.66
1949-07-27,145.47
1949-07-28,145.51
1949-07-29,144.59
1949-07-30,144.93666666666667
1949-07-31,145.28333333333333
1949-08-01,145.63
1949-08-02,150.0
1949-08-03,154.46
1949-08-04,155.57
1949-08-05,154.24
1949-08-06,154.98000000000002
1949-08-07,155.72
1949-08-08,156.46
1949-08-09,157.68
1949-08-10,159.3
1949-08-11,162.75
1949-08-12,164.73
1949-08-13,162.82
1949-08-14,160.91
1949-08-15,159.0
1949-08-16,159.14
1949-08-17,158.23
1949-08-18,158.17
1949-08-19,158.81
1949-08-20,159.37666666666667
1949-08-21,159.94333333333333
1949-08-22,160.51
1949-08-23,162.02
1949-08-24,164.34
1949-08-25,167.64
1949-08-26,173.2
1949-08-27,173.20666666666665
1949-08-28,173.21333333333334
1949-08-29,173.22
1949-08-30,174.1
1949-08-31,175.18
1949-09-01,176.89
1949-09-02,173.0
1949-09-03,172.73666666666668
1949-09-04,172.47333333333333
1949-09-05,172.21
1949-09-06,172.41
1949-09-07,171.89
