Date,Close
1981-01-02,36.88
1981-01-03,36.97
1981-01-04,37.05
1981-01-05,37.14
1981-01-06,37.13
1981-01-07,36.09
1981-01-08,35.77
1981-01-09,35.88
1981-01-10,35.92
1981-01-11,35.95
1981-01-12,35.99
1981-01-13,35.82
1981-01-14,36.12
1981-01-15,36.33
1981-01-16,36.56
1981-01-17,36.57
1981-01-18,36.59
1981-01-19,36.60
1981-01-20,36.08
1981-01-21,35.86
1981-01-22,35.66
1981-01-23,35.67
1981-01-24,35.61
1981-01-25,35.54
1981-01-26,35.48
1981-01-27,35.82
1981-01-28,35.72
1981-01-29,35.70
1981-01-30,35.58
1981-01-31,35.30
1981-02-01,35.03
1981-02-02,34.75
1981-02-03,34.89
1981-02-04,35.03
1981-02-05,35.45
1981-02-06,35.59
1981-02-07,35.49
1981-02-08,35.40
1981-02-09,35.30
1981-02-10,35.20
1981-02-11,35.04
1981-02-12,34.85
1981-02-13,34.76
1981-02-14,34.77
1981-02-15,34.78
1981-02-16,34.80
1981-02-17,34.81
1981-02-18,34.90
1981-02-19,34.56
1981-02-20,34.55
1981-02-21,34.60
1981-02-22,34.65
1981-02-23,34.70
1981-02-24,34.86
1981-02-25,34.86
1981-02-26,35.21
1981-02-27,35.56
1981-02-28,35.69
1981-03-01,35.83
1981-03-02,35.96
1981-03-03,35.81
1981-03-04,35.87
1981-03-05,35.92
1981-03-06,36.17
1981-03-07,36.17
1981-03-08,36.17
1981-03-09,36.17
1981-03-10,36.03
1981-03-11,35.88
1981-03-12,36.41
1981-03-13,36.76
1981-03-14,36.86
1981-03-15,36.97
1981-03-16,37.07
1981-03-17,37.03
1981-03-18,37.12
1981-03-19,37.07
1981-03-20,37.28
1981-03-21,37.32
1981-03-22,37.36
1981-03-23,37.40
1981-03-24,37.40
1981-03-25,37.69
1981-03-26,37.71
1981-03-27,37.56
1981-03-28,37.54
1981-03-29,37.52
1981-03-30,37.50
1981-03-31,37.79
1981-04-01,37.98
1981-04-02,38.13
1981-04-03,38.10
1981-04-04,38.00
1981-04-05,37.89
1981-04-06,37.79
1981-04-07,37.93
1981-04-08,38.04
1981-04-09,38.26
1981-04-10,38.37
1981-04-11,38.27
1981-04-12,38.18
1981-04-13,38.08
1981-04-14,37.90
1981-04-15,38.24
1981-04-16,38.45
1981-04-17,38.50
1981-04-18,38.55
1981-04-19,38.60
1981-04-20,38.65
1981-04-21,38.35
1981-04-22,38.27
1981-04-23,38.29
1981-04-24,38.54
1981-04-25,38.55
1981-04-26,38.55
1981-04-27,38.56
1981-04-28,38.16
1981-04-29,37.78
1981-04-30,37.85
1981-05-01,38.67
1981-05-02,38.45
1981-05-03,38.22
1981-05-04,38.00
1981-05-05,37.82
1981-05-06,38.03
1981-05-07,38.22
1981-05-08,38.36
1981-05-09,38.24
1981-05-10,38.13
1981-05-11,38.01
1981-05-12,38.06
1981-05-13,38.24
1981-05-14,38.46
1981-05-15,38.75
1981-05-16,38.82
1981-05-17,38.89
1981-05-18,38.96
1981-05-19,38.84
1981-05-20,38.99
1981-05-21,39.00
1981-05-22,39.01
1981-05-23,39.05
1981-05-24,39.09
1981-05-25,39.14
1981-05-26,39.18
1981-05-27,39.34
1981-05-28,39.36
1981-05-29,39.39
1981-05-30,39.52
1981-05-31,39.64
1981-06-01,39.77
1981-06-02,39.35
1981-06-03,39.21
1981-06-04,39.30
1981-06-05,39.47
1981-06-06,39.50
1981-06-07,39.52
1981-06-08,39.55
1981-06-09,39.40
1981-06-10,39.56
1981-06-11,40.03
1981-06-12,40.20
1981-06-13,40.24
1981-06-14,40.28
1981-06-15,40.32
1981-06-16,39.87
1981-06-17,40.04
1981-06-18,39.61
1981-06-19,39.85
1981-06-20,39.84
1981-06-21,39.84
1981-06-22,39.83
1981-06-23,40.11
1981-06-24,39.93
1981-06-25,40.03
1981-06-26,39.96
1981-06-27,39.91
1981-06-28,39.86
1981-06-29,39.81
1981-06-30,39.51
1981-07-01,39.18
1981-07-02,38.87
1981-07-03,38.72
1981-07-04,38.57
1981-07-05,38.43
1981-07-06,38.28
1981-07-07,38.18
1981-07-08,38.34
1981-07-09,38.78
1981-07-10,38.95
1981-07-11,38.94
1981-07-12,38.94
1981-07-13,38.93
1981-07-14,38.84
1981-07-15,39.14
1981-07-16,39.28
1981-07-17,39.45
1981-07-18,39.25
1981-07-19,39.04
1981-07-20,38.84
1981-07-21,38.51
1981-07-22,38.40
1981-07-23,38.29
1981-07-24,38.61
1981-07-25,38.69
1981-07-26,38.78
1981-07-27,38.86
1981-07-28,38.67
1981-07-29,38.66
1981-07-30,38.75
1981-07-31,39.09
1981-08-01,39.09
1981-08-02,39.08
1981-08-03,39.08
1981-08-04,39.03
1981-08-05,39.49
1981-08-06,39.72
1981-08-07,39.66
1981-08-08,39.66
1981-08-09,39.67
1981-08-10,39.67
1981-08-11,40.08
1981-08-12,40.13
1981-08-13,40.14
1981-08-14,39.99
1981-08-15,39.89
